order_id,customer_name,shipper_name,consignee_name,notify_name,teu,product_name,function_category,destination_country,destination_port,order_date
DEMO-SO-0030,ORBIT MARKETPLACE,GREENFIELD ELECTRONICS,ORBIT CANADA BUYING,ORBIT ASIA PROCUREMENT,2.0,LED controller,electronics,CA,Prince Rupert,2026-01-14
DEMO-SO-0031,ORBIT MARKETPLACE,GREENFIELD ELECTRONICS,ORBIT CANADA BUYING,ORBIT ASIA PROCUREMENT,2.4,LED controller,electronics,CA,Prince Rupert,2026-01-14
DEMO-SO-0032,ORBIT MARKETPLACE,GREENFIELD ELECTRONICS,ORBIT CANADA BUYING,ORBIT ASIA PROCUREMENT,2.8,LED controller,electronics,CA,Prince Rupert,2026-01-14
DEMO-SO-0033,ORBIT MARKETPLACE,GREENFIELD ELECTRONICS,ORBIT CANADA BUYING,ORBIT ASIA PROCUREMENT,2.0,LED controller,electronics,CA,Prince Rupert,2026-01-14
DEMO-SO-0034,ORBIT MARKETPLACE,EASTWIND TEXTILES,IBERIA RETAIL IMPORTS,ORBIT ASIA PROCUREMENT,3.5,Cotton throw,textile,ES,Valencia,2026-01-16
DEMO-SO-0035,ORBIT MARKETPLACE,EASTWIND TEXTILES,IBERIA RETAIL IMPORTS,ORBIT ASIA PROCUREMENT,3.9,Cotton throw,textile,ES,Valencia,2026-01-16
DEMO-SO-0036,ORBIT MARKETPLACE,EASTWIND TEXTILES,IBERIA RETAIL IMPORTS,ORBIT ASIA PROCUREMENT,4.3,Cotton throw,textile,ES,Valencia,2026-01-16
DEMO-SO-0037,ORBIT MARKETPLACE,EASTWIND TEXTILES,IBERIA RETAIL IMPORTS,ORBIT ASIA PROCUREMENT,3.5,Cotton throw,textile,ES,Valencia,2026-01-16
DEMO-SO-0038,ORBIT MARKETPLACE,EASTWIND TEXTILES,IBERIA RETAIL IMPORTS,ORBIT ASIA PROCUREMENT,3.9,Cotton throw,textile,ES,Valencia,2026-01-16
DEMO-SO-0039,LUMEN BRANDS,AURORA LIGHTING FACTORY,LUMEN LATAM IMPORTS,LUMEN LATAM IMPORTS,2.2,Pendant lamp,lighting,MX,Manzanillo,2026-01-18
DEMO-SO-0040,LUMEN BRANDS,AURORA LIGHTING FACTORY,LUMEN LATAM IMPORTS,LUMEN LATAM IMPORTS,2.6,Pendant lamp,lighting,MX,Manzanillo,2026-01-18
DEMO-SO-0041,LUMEN BRANDS,AURORA LIGHTING FACTORY,LUMEN LATAM IMPORTS,LUMEN LATAM IMPORTS,3.0,Pendant lamp,lighting,MX,Manzanillo,2026-01-18
DEMO-SO-0042,LUMEN BRANDS,AURORA LIGHTING FACTORY,LUMEN LATAM IMPORTS,LUMEN LATAM IMPORTS,2.2,Pendant lamp,lighting,MX,Manzanillo,2026-01-18
DEMO-SO-0043,LUMEN BRANDS,AURORA LIGHTING FACTORY,LUMEN LATAM IMPORTS,LUMEN LATAM IMPORTS,2.6,Pendant lamp,lighting,MX,Manzanillo,2026-01-18
DEMO-SO-0044,LUMEN BRANDS,AURORA LIGHTING FACTORY,LUMEN LATAM IMPORTS,LUMEN LATAM IMPORTS,3.0,Pendant lamp,lighting,MX,Manzanillo,2026-01-18
DEMO-SO-0045,MERIDIAN SUPPLY CHAIN,ORIENTAL CERAMICS,PACIFIC HOME BUYING,TRANSWORLD CARGO SERVICES,4.2,Ceramic planter,ceramics,AU,Sydney,2026-01-20
DEMO-SO-0046,MERIDIAN SUPPLY CHAIN,ORIENTAL CERAMICS,PACIFIC HOME BUYING,TRANSWORLD CARGO SERVICES,4.6,Ceramic planter,ceramics,AU,Sydney,2026-01-20
DEMO-SO-0047,MERIDIAN SUPPLY CHAIN,ORIENTAL CERAMICS,PACIFIC HOME BUYING,TRANSWORLD CARGO SERVICES,5.0,Ceramic planter,ceramics,AU,Sydney,2026-01-20
DEMO-SO-0048,MERIDIAN SUPPLY CHAIN,ORIENTAL CERAMICS,PACIFIC HOME BUYING,TRANSWORLD CARGO SERVICES,4.2,Ceramic planter,ceramics,AU,Sydney,2026-01-20
DEMO-SO-0049,MERIDIAN SUPPLY CHAIN,ORIENTAL CERAMICS,PACIFIC HOME BUYING,TRANSWORLD CARGO SERVICES,4.6,Ceramic planter,ceramics,AU,Sydney,2026-01-20
DEMO-SO-0050,HARBOR WHOLESALE,ALPINE TOOLING,HARBOR WHOLESALE,SAME AS,1.8,Hand tool kit,tools,US,Long Beach,2026-01-22
DEMO-SO-0051,HARBOR WHOLESALE,ALPINE TOOLING,HARBOR WHOLESALE,SAME AS,2.2,Hand tool kit,tools,US,Long Beach,2026-01-22
DEMO-SO-0052,HARBOR WHOLESALE,ALPINE TOOLING,HARBOR WHOLESALE,SAME AS,2.6,Hand tool kit,tools,US,Long Beach,2026-01-22
DEMO-SO-0053,HARBOR WHOLESALE,ALPINE TOOLING,HARBOR WHOLESALE,SAME AS,1.8,Hand tool kit,tools,US,Long Beach,2026-01-22
DEMO-SO-0054,SUMMIT DIGITAL RETAIL,GREENFIELD MALAYSIA,SAHARA TRADE HOUSE,TO ORDER,2.8,Smart sensor,electronics,AE,Jebel Ali,2026-01-24
DEMO-SO-0055,SUMMIT DIGITAL RETAIL,GREENFIELD MALAYSIA,SAHARA TRADE HOUSE,TO ORDER,3.2,Smart sensor,electronics,AE,Jebel Ali,2026-01-24
DEMO-SO-0056,SUMMIT DIGITAL RETAIL,GREENFIELD MALAYSIA,SAHARA TRADE HOUSE,TO ORDER,3.6,Smart sensor,electronics,AE,Jebel Ali,2026-01-24
DEMO-SO-0057,SUMMIT DIGITAL RETAIL,GREENFIELD MALAYSIA,SAHARA TRADE HOUSE,TO ORDER,2.8,Smart sensor,electronics,AE,Jebel Ali,2026-01-24
DEMO-SO-0058,BLUE RIDGE SOURCING,SILVERLINE PACKAGING,ANDES MARKET SUPPLY,YQN LOGISTICS,1.5,Gift carton,packaging,PE,Callao,2026-01-26
DEMO-SO-0059,BLUE RIDGE SOURCING,SILVERLINE PACKAGING,ANDES MARKET SUPPLY,YQN LOGISTICS,1.9,Gift carton,packaging,PE,Callao,2026-01-26
DEMO-SO-0060,BLUE RIDGE SOURCING,SILVERLINE PACKAGING,ANDES MARKET SUPPLY,YQN LOGISTICS,2.3,Gift carton,packaging,PE,Callao,2026-01-26
DEMO-SO-0061,APEX SOURCING SHENZHEN,DRAGON PEAK VIETNAM,ATLAS MEXICO DISTRIBUTION,APEX OUTDOOR EUROPE,3.2,Camping table,outdoor furniture,MX,Veracruz,2026-01-28
DEMO-SO-0062,APEX SOURCING SHENZHEN,DRAGON PEAK VIETNAM,ATLAS MEXICO DISTRIBUTION,APEX OUTDOOR EUROPE,3.6,Camping table,outdoor furniture,MX,Veracruz,2026-01-28
DEMO-SO-0063,APEX SOURCING SHENZHEN,DRAGON PEAK VIETNAM,ATLAS MEXICO DISTRIBUTION,APEX OUTDOOR EUROPE,4.0,Camping table,outdoor furniture,MX,Veracruz,2026-01-28
DEMO-SO-0064,APEX SOURCING SHENZHEN,DRAGON PEAK VIETNAM,ATLAS MEXICO DISTRIBUTION,APEX OUTDOOR EUROPE,3.2,Camping table,outdoor furniture,MX,Veracruz,2026-01-28
DEMO-SO-0065,NOVA HOME STORES,SUNRISE PLASTICS THAILAND,CAPE TOWN RETAIL IMPORTS,NOVA EUROPE BUYING,2.6,Laundry basket,household plastic,ZA,Cape Town,2026-02-01
DEMO-SO-0066,NOVA HOME STORES,SUNRISE PLASTICS THAILAND,CAPE TOWN RETAIL IMPORTS,NOVA EUROPE BUYING,3.0,Laundry basket,household plastic,ZA,Cape Town,2026-02-01
DEMO-SO-0067,NOVA HOME STORES,SUNRISE PLASTICS THAILAND,CAPE TOWN RETAIL IMPORTS,NOVA EUROPE BUYING,3.4,Laundry basket,household plastic,ZA,Cape Town,2026-02-01
DEMO-SO-0068,ORBIT MARKETPLACE,RIVERSTONE CAMBODIA,MAPLE LEAF IMPORTS,ORBIT CANADA BUYING,2.1,Metal shelf,metal houseware,CA,Montreal,2026-02-03
DEMO-SO-0069,ORBIT MARKETPLACE,RIVERSTONE CAMBODIA,MAPLE LEAF IMPORTS,ORBIT CANADA BUYING,2.5,Metal shelf,metal houseware,CA,Montreal,2026-02-03
DEMO-SO-0070,ORBIT MARKETPLACE,RIVERSTONE CAMBODIA,MAPLE LEAF IMPORTS,ORBIT CANADA BUYING,2.9,Metal shelf,metal houseware,CA,Montreal,2026-02-03
DEMO-SO-0071,LUMEN BRANDS,ORIENTAL CERAMICS INDONESIA,IBERIA RETAIL IMPORTS,LUMEN LATAM IMPORTS,1.7,Table vase,ceramics,ES,Barcelona,2026-02-05
DEMO-SO-0072,LUMEN BRANDS,ORIENTAL CERAMICS INDONESIA,IBERIA RETAIL IMPORTS,LUMEN LATAM IMPORTS,2.1,Table vase,ceramics,ES,Barcelona,2026-02-05
DEMO-SO-0073,LUMEN BRANDS,ORIENTAL CERAMICS INDONESIA,IBERIA RETAIL IMPORTS,LUMEN LATAM IMPORTS,2.5,Table vase,ceramics,ES,Barcelona,2026-02-05
DEMO-SO-0074,MERIDIAN SUPPLY CHAIN,EASTWIND BANGLADESH,RHINE HOME IMPORTS,TRANSWORLD CARGO SERVICES,2.3,Bedding set,textile,DE,Bremerhaven,2026-02-07
DEMO-SO-0075,MERIDIAN SUPPLY CHAIN,EASTWIND BANGLADESH,RHINE HOME IMPORTS,TRANSWORLD CARGO SERVICES,2.7,Bedding set,textile,DE,Bremerhaven,2026-02-07
DEMO-SO-0076,MERIDIAN SUPPLY CHAIN,EASTWIND BANGLADESH,RHINE HOME IMPORTS,TRANSWORLD CARGO SERVICES,3.1,Bedding set,textile,DE,Bremerhaven,2026-02-07
DEMO-SO-0077,PACIFIC HOME BUYING,CRESCENT FURNITURE WORKS,PACIFIC HOME BUYING,SAME AS,1.6,Dining chair,furniture,AU,Melbourne,2026-02-09
DEMO-SO-0078,PACIFIC HOME BUYING,CRESCENT FURNITURE WORKS,PACIFIC HOME BUYING,SAME AS,2.0,Dining chair,furniture,AU,Melbourne,2026-02-09
DEMO-SO-0079,PACIFIC HOME BUYING,CRESCENT FURNITURE WORKS,PACIFIC HOME BUYING,SAME AS,2.4,Dining chair,furniture,AU,Melbourne,2026-02-09
DEMO-SO-0080,APEX OUTDOOR USA,OCEANBRIDGE LOGISTICS,NORTHSTAR DISTRIBUTION,APEX GLOBAL SOURCING HK,1.0,Freight handling,logistics service,US,Los Angeles,2026-02-11
DEMO-SO-0081,APEX OUTDOOR USA,OCEANBRIDGE LOGISTICS,NORTHSTAR DISTRIBUTION,APEX GLOBAL SOURCING HK,1.4,Freight handling,logistics service,US,Los Angeles,2026-02-11
